timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391603689,1577,login-1,200,,jp@gc - Ultimate Thread Group 1-182,text,true,,13693,631,979,979,http://localhost:8082/books,1484,0,1
1594391603707,696,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-363,,true,,19951,287,979,979,null,0,863,0
1594391604570,696,book-0,200,,jp@gc - Ultimate Thread Group 1-363,text,true,,19951,287,979,979,http://localhost:8082/books/23,696,0,0
1594391604759,165,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-387,,true,,20085,287,979,979,null,0,348,0
1594391605106,165,book-0,200,,jp@gc - Ultimate Thread Group 1-387,text,true,,20085,287,979,979,http://localhost:8082/books/11,165,0,0
1594391603072,409,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-420,,true,,7927,187,979,979,null,0,1793,0
1594391604865,409,Book category-0,200,,jp@gc - Ultimate Thread Group 1-420,text,true,,7927,187,979,979,http://localhost:8082/books/category/2,408,0,0
1594391604487,63,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-552,,true,,10881,187,979,979,null,0,725,0
1594391605211,63,Book category-0,200,,jp@gc - Ultimate Thread Group 1-552,text,true,,10881,187,979,979,http://localhost:8082/books/category/1,63,0,0
1594391600426,564,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-331,,true,,13353,285,979,979,null,0,4285,0
1594391604711,564,catalog-0,200,,jp@gc - Ultimate Thread Group 1-331,text,true,,13353,285,979,979,http://localhost:8082/books/,563,0,1
1594391604404,421,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-842,,true,,13351,177,979,979,null,0,454,0
1594391602285,1382,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-912,,true,,24193,1446,979,979,null,0,1612,0
1594391604857,421,Book category-0,200,,jp@gc - Ultimate Thread Group 1-842,text,true,,13351,177,979,979,http://localhost:8082/books/,421,0,0
1594391603421,1175,review-0,200,,jp@gc - Ultimate Thread Group 1-912,text,true,,5323,1112,950,950,http://localhost:8082/login,682,0,1
1594391605072,207,review-1,200,,jp@gc - Ultimate Thread Group 1-912,text,true,,18870,334,979,979,http://localhost:8082/books/12,206,0,0
1594391600481,2182,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-457,,true,,40381,1451,979,979,null,0,2616,0
1594391602369,1984,review-0,200,,jp@gc - Ultimate Thread Group 1-457,text,true,,20343,1118,944,944,http://localhost:8082/books/4#reviews,688,0,1
